anio,area_m2,area_ha,area_km2
2021,1190682059.4714282,119068.20594714282,1190.6820594714281
2023,13777737.18348983,1377.773718348983,13.77773718348983
2024,7313873.033103189,731.387303310319,7.31387303310319
2025,40210136.742563784,4021.0136742563786,40.21013674256378
